IssueID,Title,Role,Epic,Story,Priority,Dependencies,AllowedModules,Tests,Wave,Status
GOV-001,初始化统一仓库目录与最终 docs 基线,Backend Core,EPIC-00,ST-GOV-01,P0,,root docs .ai .github scripts,"ARCH-001,ARCH-002",1,DONE
GOV-002,启用架构边界检查与基础 CI Gate,QA,EPIC-00,ST-GOV-01,P0,GOV-001,.github backend/pet-architecture-test backend/tools,ARCH-001~ARCH-005,1,DONE
PLAT-001,验证并修复 Maven 后端骨架可构建,Backend Core,EPIC-01,ST-PLAT-01,P0,GOV-001,backend/**,ARCH-001~ARCH-003,1,DONE
PLAT-002,公共 ID/时间/金额/CommandContext/幂等基线,Backend Core,EPIC-01,ST-PLAT-02,P0,PLAT-001,backend/pet-common backend/*-api,"ORD-011,ORD-013",2,IN_PROGRESS
PLAT-003,Transactional Outbox 基础实现,Backend Core,EPIC-01,ST-PLAT-02,P0,PLAT-001,backend/pet-event-* backend/pet-boot,TASK-005,2,IN_PROGRESS
PLAT-004,Durable AsyncTask Worker/Lease 基础实现,Backend Core,EPIC-01,ST-PLAT-02,P0,PLAT-001,backend/pet-task-core backend/pet-boot,"TASK-001,TASK-002",2,IN_PROGRESS
AUTH-001,登录认证/RBAC与同小程序身份契约和实现,Backend Core,EPIC-02,ST-ID-01,P0,PLAT-001,backend/pet-user-* backend/pet-admin-* backend/pet-boot,"权限/登录P0,MINI-002~MINI-004,WEB-002,PERM-001~PERM-006",2,IN_PROGRESS
USR-001,用户与宠物档案领域实现,Backend Core,EPIC-02,ST-PET-01,P0,PLAT-002,backend/pet-user-*,订单宠物快照前置,2,IN_PROGRESS
MER-001,商家/门店基础领域与新单资格,Backend Core,EPIC-03,ST-MER-01,P0,PLAT-002,backend/pet-merchant-*,"MER-001,ORD-009,ORD-010",2,IN_PROGRESS
SVC-001,服务项目领域、可预约资格与订单快照查询,Backend Core,EPIC-04,ST-SVC-01,P0,MER-001,backend/pet-service-*,ORD-008,2,BLOCKED
SCH-001,分钟级 Availability Query,Backend Core,EPIC-05,ST-SCH-01,P0,SVC-001,backend/pet-schedule-*,"ORD-006,ORD-007",3,BLOCKED
SCH-002,"effectiveCapacity=min(configured,availableStaff)",Backend Core,EPIC-05,ST-SCH-01,P0,SCH-001,backend/pet-schedule-* backend/pet-merchant-api,"ORD-004,ORD-005,CON-001,CON-002",3,BLOCKED
