IssueID,StoryID,Relation
C-002,ST-ID-01,PRIMARY_BUSINESS
C-002,ST-PET-01,SECONDARY_TRACE
C-002,ST-FE-C-01,SECONDARY_TRACE
C-003,ST-SVC-01,PRIMARY_BUSINESS
C-003,ST-MER-01,SECONDARY_TRACE
C-003,ST-SCH-01,SECONDARY_TRACE
C-003,ST-FE-C-01,SECONDARY_TRACE
C-004,ST-ORD-01,PRIMARY_BUSINESS
C-004,ST-ORD-02,SECONDARY_TRACE
C-004,ST-PAY-01,SECONDARY_TRACE
C-004,ST-VER-01,SECONDARY_TRACE
C-004,ST-FE-C-01,SECONDARY_TRACE
C-005,ST-AFS-01,PRIMARY_BUSINESS
C-005,ST-REF-01,SECONDARY_TRACE
C-005,ST-REF-02,SECONDARY_TRACE
C-005,ST-RES-01,SECONDARY_TRACE
C-005,ST-REV-01,SECONDARY_TRACE
C-005,ST-FE-C-01,SECONDARY_TRACE
C-006,ST-COM-01,PRIMARY_BUSINESS
C-006,ST-KNOW-01,SECONDARY_TRACE
C-006,ST-CPN-01,SECONDARY_TRACE
C-006,ST-PTS-01,SECONDARY_TRACE
C-006,ST-NTF-01,SECONDARY_TRACE
C-006,ST-FE-C-01,SECONDARY_TRACE
M-002,ST-MER-01,PRIMARY_BUSINESS
M-002,ST-MER-02,SECONDARY_TRACE
M-002,ST-ID-01,SECONDARY_TRACE
M-002,ST-SVC-01,SECONDARY_TRACE
M-002,ST-SCH-01,SECONDARY_TRACE
M-002,ST-FE-M-01,SECONDARY_TRACE
M-003,ST-CONF-01,PRIMARY_BUSINESS
M-003,ST-RES-01,SECONDARY_TRACE
M-003,ST-ORD-02,SECONDARY_TRACE
M-003,ST-FE-M-01,SECONDARY_TRACE
M-004,ST-AFS-01,PRIMARY_BUSINESS
M-004,ST-REF-02,SECONDARY_TRACE
M-004,ST-VER-01,SECONDARY_TRACE
M-004,ST-REV-01,SECONDARY_TRACE
M-004,ST-3RD-01,SECONDARY_TRACE
M-004,ST-NTF-01,SECONDARY_TRACE
M-004,ST-FE-M-01,SECONDARY_TRACE
A-002,ST-ADM-01,PRIMARY_BUSINESS
A-002,ST-FE-A-01,SECONDARY_TRACE
A-003,ST-ADM-02,PRIMARY_BUSINESS
A-003,ST-FE-A-01,SECONDARY_TRACE
A-004,ST-ADM-03,PRIMARY_BUSINESS
A-004,ST-FE-A-01,SECONDARY_TRACE
A-005,ST-ADM-04,PRIMARY_BUSINESS
A-005,ST-FE-A-01,SECONDARY_TRACE
