StoryID,EpicID,Story
ST-GOV-01,EPIC-00,仓库/分支/AI制度初始化
ST-PLAT-01,EPIC-01,后端工程可构建与环境基线
ST-PLAT-02,EPIC-01,幂等/错误/Outbox/AsyncTask基础
ST-ID-01,EPIC-02,登录与身份
ST-PET-01,EPIC-02,用户与宠物档案
ST-MER-01,EPIC-03,商家/门店基础资料与状态
ST-MER-02,EPIC-03,商家入驻/审核基础
ST-SVC-01,EPIC-04,服务项目与快照
ST-SCH-01,EPIC-05,分钟级可用时间与容量
ST-SCH-02,EPIC-05,预约临时锁/确认/释放
ST-ORD-01,EPIC-06,创建预约订单
ST-ORD-02,EPIC-06,订单查询与展示态
ST-PAY-01,EPIC-07,支付单/渠道适配
ST-PAY-02,EPIC-07,支付回调/查单/超时
ST-PAY-03,EPIC-07,迟到支付自动退款
ST-CONF-01,EPIC-08,商家接单/拒单/30分钟自动接单
ST-RES-01,EPIC-08,用户最多一次改期
ST-REF-01,EPIC-09,服务前自动退款
ST-REF-02,EPIC-09,服务后商家退款处理
ST-REF-03,EPIC-09,渠道退款/UNKNOWN/后置权益
ST-VER-01,EPIC-10,平台核销与操作互斥
ST-AFS-01,EPIC-11,未核销/已核销售后资格
ST-AFS-02,EPIC-11,运营终局裁决
ST-CPN-01,EPIC-12,优惠券订单生命周期
ST-PTS-01,EPIC-13,积分赚取与退款扣回
ST-REV-01,EPIC-14,评价资格/评分/部分退款
ST-REV-02,EPIC-14,评价申诉
ST-NTF-01,EPIC-15,站内通知与Delivery
ST-COM-01,EPIC-16,社区动态/互动/审核
ST-KNOW-01,EPIC-16,宠物百科
ST-3RD-01,EPIC-17,美团/点评独立核销
ST-ADM-01,EPIC-18,商家/服务治理
ST-ADM-02,EPIC-18,交易/退款/核销监管
ST-ADM-03,EPIC-18,售后/评价治理
ST-ADM-04,EPIC-18,基础台账/内容/权限/审计
ST-CS-01,EPIC-19,人工客服承载
ST-QA-01,EPIC-20,架构/Contract/DB自动化
ST-QA-02,EPIC-20,P0交易并发/故障测试
ST-QA-03,EPIC-20,三端E2E/UAT/Release
ST-FE-C-01,EPIC-20,C端应用工程与核心闭环
ST-FE-M-01,EPIC-20,商家端工程与履约闭环
ST-FE-A-01,EPIC-20,运营端工程与治理闭环
